Order Number,Sales Channel,Warehouse Code,Procured Date,Order Date,Ship Date,Delivery Date,Team ID,Team,Customer ID,Store ID,Product ID,Product,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 0001762,Online,WARE-PUJ1005,8/18/2018,12/15/2018,12/19/2018,12/27/2018,20,Glencoe,12,325,7,Distributor Wire,6,7.50%,1319.9,24.83
SO - 0001763,In-Store,WARE-NBV1002,7/13/2018,12/15/2018,12/19/2018,12/25/2018,5,Gaylord,26,77,41,Antenna,8,7.50%,1775.5,83.64
SO - 0001764,In-Store,WARE-XYS1001,8/17/2018,12/15/2018,12/20/2018,12/22/2018,1,Granite Falls,38,41,39,Break Light,2,15%,187.6,55.82
SO - 0001765,In-Store,WARE-NMK1003,7/16/2018,12/15/2018,12/20/2018,12/29/2018,6,Elk River,3,173,19,Trunk Release,5,5%,1139,42.75
SO - 0001766,In-Store,WARE-XYS1001,7/29/2018,12/15/2018,12/21/2018,12/24/2018,9,Olivia,28,46,27,Door Handle Set,5,15%,1005,1403.72
SO - 0001767,Distributor,WARE-NBV1002,7/24/2018,12/15/2018,12/18/2018,12/23/2018,25,Park Rapids,23,58,44,Cruise Control,5,20%,2385.2,863.58
SO - 0001768,Online,WARE-NMK1003,8/5/2018,12/15/2018,12/20/2018,12/23/2018,17,Milaca,26,184,1,Leaf Springs,6,5%,1085.4,1028.78
SO - 0001769,Online,WARE-PUJ1005,7/4/2018,12/15/2018,12/18/2018,12/25/2018,16,Austin,13,307,4,Break Router,5,20%,1809,193.82
SO - 000177,In-Store,WARE-UHY1004,4/12/2018,9/6/2018,9/9/2018,9/13/2018,5,Gaylord,33,232,15,Seat - Front,5,5%,1011.7,353.1
SO - 0001770,Wholesale,WARE-UHY1004,7/17/2018,12/15/2018,12/19/2018,12/28/2018,26,Red Wing,33,250,2,Spark Plug,4,5%,897.8,1.38
SO - 0001771,In-Store,WARE-PUJ1005,9/7/2018,12/15/2018,12/17/2018,12/25/2018,3,St. James,17,284,14,Window Switch - Rear,3,20%,1246.2,444.93
SO - 0001772,In-Store,WARE-XYS1001,10/3/2018,12/15/2018,12/19/2018,12/21/2018,4,Owatonna,32,20,40,Blinker Fluid,1,30%,1118.9,17.05
SO - 0001773,Online,WARE-NBV1002,11/19/2018,12/15/2018,12/18/2018,12/26/2018,19,Fairmont,42,85,5,Break Set,3,5%,1018.4,537.09
SO - 0001774,Distributor,WARE-UHY1004,10/23/2018,12/15/2018,12/17/2018,12/26/2018,23,Willmar,17,219,33,Radiator Fluid,1,7.50%,5105.4,90.21
SO - 0001775,In-Store,WARE-MKL1006,6/27/2018,12/16/2018,12/21/2018,12/30/2018,9,Olivia,13,363,16,Seat - Rear,8,7.50%,1159.1,511.83
SO - 0001776,In-Store,WARE-PUJ1005,8/23/2018,12/16/2018,12/20/2018,12/25/2018,8,Luverne,7,287,36,Rear Axel,3,7.50%,1916.2,1099.4
SO - 0001777,In-Store,WARE-NBV1002,11/18/2018,12/16/2018,12/22/2018,12/30/2018,9,Olivia,41,66,23,Quarter Panel - Rear,3,15%,247.9,338.25
SO - 0001778,Wholesale,WARE-UHY1004,7/21/2018,12/16/2018,12/17/2018,12/24/2018,26,Red Wing,18,222,28,CV Joint,4,7.50%,884.4,1294.12
SO - 0001779,Distributor,WARE-UHY1004,6/25/2018,12/17/2018,12/22/2018,1/2/2019,25,Park Rapids,29,242,39,Break Light,1,10%,1139,55.82
SO - 000178,Wholesale,WARE-UHY1004,7/30/2018,9/6/2018,9/8/2018,9/15/2018,26,Red Wing,28,231,28,CV Joint,6,20%,234.5,1294.12
SO - 0001780,Wholesale,WARE-MKL1006,12/10/2018,12/17/2018,12/18/2018,12/28/2018,26,Red Wing,13,341,2,Spark Plug,3,30%,174.2,1.38
SO - 0001781,Online,WARE-NMK1003,9/13/2018,12/17/2018,12/22/2018,12/28/2018,17,Milaca,20,187,27,Door Handle Set,8,5%,951.4,1403.72
SO - 0001782,Online,WARE-NMK1003,12/2/2018,12/17/2018,12/20/2018,12/23/2018,20,Glencoe,45,194,32,Radiator Sensor,4,5%,167.5,683.25
SO - 0001783,Wholesale,WARE-NMK1003,10/12/2018,12/17/2018,12/22/2018,12/24/2018,28,Montevideo,17,144,31,Radiator Cap - Standard,8,5%,5138.9,79.87
SO - 0001784,Online,WARE-NMK1003,8/14/2018,12/17/2018,12/19/2018,12/26/2018,17,Milaca,12,180,29,Radiator Cap - Custom,7,5%,214.4,770.71
SO - 0001785,Distributor,WARE-PUJ1005,9/15/2018,12/18/2018,12/19/2018,12/29/2018,22,Two Harbors,5,300,1,Leaf Springs,8,15%,1011.7,1028.78
SO - 0001786,Distributor,WARE-MKL1006,11/4/2018,12/18/2018,12/21/2018,12/26/2018,23,Willmar,16,332,10,Coolant Sensor,6,5%,1159.1,689.31
SO - 0001787,Distributor,WARE-UHY1004,9/30/2018,12/18/2018,12/19/2018,12/30/2018,22,Two Harbors,48,228,40,Blinker Fluid,3,5%,1058.6,17.05
SO - 0001788,Wholesale,WARE-MKL1006,9/9/2018,12/18/2018,12/24/2018,1/3/2019,27,Grand Marais,2,354,43,Bumper - Rear,4,15%,1869.3,574.36
SO - 0001789,Online,WARE-XYS1001,9/8/2018,12/18/2018,12/24/2018,12/30/2018,18,Lichfield,47,55,35,Front Axel,5,40%,1762.1,1176.68
SO - 000179,Online,WARE-NMK1003,7/16/2018,9/6/2018,9/8/2018,9/9/2018,13,Fergus Falls,42,158,11,AC Unit,4,7.50%,261.3,1786.59
SO - 0001790,Online,WARE-PUJ1005,10/19/2018,12/18/2018,12/20/2018,12/29/2018,17,Milaca,10,328,15,Seat - Front,3,7.50%,2492.4,353.1
SO - 0001791,Distributor,WARE-MKL1006,8/2/2018,12/18/2018,12/21/2018,12/29/2018,20,Glencoe,12,347,40,Blinker Fluid,7,7.50%,3919.5,17.05
SO - 0001792,Distributor,WARE-NMK1003,9/19/2018,12/18/2018,12/19/2018,12/21/2018,21,Marshall,31,141,7,Distributor Wire,1,7.50%,2519.2,24.83
SO - 0001793,Wholesale,WARE-MKL1006,11/15/2018,12/18/2018,12/23/2018,12/28/2018,26,Red Wing,10,358,25,Trunk,3,30%,3872.6,1074.1
SO - 0001794,In-Store,WARE-NMK1003,10/10/2018,12/19/2018,12/23/2018,12/27/2018,8,Luverne,32,148,38,Blinker Set,2,7.50%,1855.9,800.13
SO - 0001795,In-Store,WARE-UHY1004,9/16/2018,12/19/2018,12/21/2018,12/27/2018,6,Elk River,26,253,4,Break Router,1,5%,4006.6,193.82
SO - 0001796,Online,WARE-UHY1004,10/18/2018,12/19/2018,12/24/2018,12/30/2018,18,Lichfield,13,211,31,Radiator Cap - Standard,7,10%,1721.9,79.87
SO - 0001797,In-Store,WARE-NMK1003,8/7/2018,12/19/2018,12/23/2018,12/30/2018,5,Gaylord,6,140,26,Door Handle,2,5%,1038.5,162.29
SO - 0001798,Wholesale,WARE-NMK1003,7/18/2018,12/19/2018,12/24/2018,12/30/2018,26,Red Wing,35,181,11,AC Unit,6,20%,241.2,1786.59
SO - 0001799,Online,WARE-PUJ1005,7/20/2018,12/19/2018,12/21/2018,12/26/2018,17,Milaca,8,274,30,Radiator,1,5%,1051.9,1818.48
SO - 000180,Online,WARE-XYS1001,8/1/2018,9/6/2018,9/7/2018,9/8/2018,18,Lichfield,5,36,29,Radiator Cap - Custom,7,10%,4006.6,770.71
SO - 0001800,Distributor,WARE-UHY1004,6/28/2018,12/19/2018,12/25/2018,12/29/2018,25,Park Rapids,9,247,37,Tail Light,8,7.50%,180.9,22.71
SO - 0001801,Online,WARE-NMK1003,7/27/2018,12/20/2018,12/22/2018,12/24/2018,18,Lichfield,2,192,12,Gear Shift Knob,6,5%,268,98.45
SO - 0001802,In-Store,WARE-XYS1001,9/18/2018,12/20/2018,12/21/2018,1/1/2019,5,Gaylord,9,2,13,Window Switch - Front,1,20%,1159.1,492.45
SO - 0001803,In-Store,WARE-UHY1004,7/24/2018,12/20/2018,12/25/2018,12/27/2018,4,Owatonna,12,239,14,Window Switch - Rear,6,5%,951.4,444.93
SO - 0001804,Online,WARE-PUJ1005,8/5/2018,12/20/2018,12/26/2018,1/5/2019,18,Lichfield,25,327,29,Radiator Cap - Custom,5,5%,4006.6,770.71
SO - 0001805,Online,WARE-NMK1003,10/8/2018,12/20/2018,12/21/2018,12/26/2018,19,Fairmont,33,122,25,Trunk,7,7.50%,5648.1,1074.1
SO - 0001806,Online,WARE-NMK1003,7/22/2018,12/20/2018,12/21/2018,12/26/2018,17,Milaca,37,168,14,Window Switch - Rear,5,5%,3926.2,444.93
SO - 0001807,Online,WARE-MKL1006,10/4/2018,12/20/2018,12/23/2018,12/28/2018,15,St.Peter,24,333,41,Antenna,8,7.50%,5326.5,83.64
SO - 0001808,Distributor,WARE-NMK1003,10/20/2018,12/20/2018,12/26/2018,12/28/2018,23,Willmar,17,193,17,Seatbelt,5,7.50%,5467.2,55.61
SO - 0001809,In-Store,WARE-NMK1003,7/21/2018,12/20/2018,12/21/2018,12/30/2018,6,Elk River,37,171,8,Transmission,8,7.50%,2546,2610.59
SO - 000181,In-Store,WARE-UHY1004,4/9/2018,9/6/2018,9/10/2018,9/12/2018,3,St. James,10,206,28,CV Joint,7,5%,1333.3,1294.12
SO - 0001810,In-Store,WARE-NBV1002,9/27/2018,12/20/2018,12/22/2018,1/1/2019,1,Granite Falls,50,70,5,Break Set,5,5%,1072,537.09
SO - 0001811,Online,WARE-UHY1004,12/2/2018,12/20/2018,12/23/2018,12/25/2018,15,St.Peter,24,208,30,Radiator,7,7.50%,1112.2,1818.48
SO - 0001812,In-Store,WARE-NBV1002,9/29/2018,12/20/2018,12/23/2018,1/2/2019,9,Olivia,10,87,33,Radiator Fluid,3,10%,2780.5,90.21
SO - 0001813,Online,WARE-NMK1003,10/30/2018,12/20/2018,12/22/2018,12/25/2018,12,Thief River Falls,39,189,16,Seat - Rear,3,5%,2646.5,511.83
SO - 0001814,In-Store,WARE-PUJ1005,8/2/2018,12/21/2018,12/26/2018,1/6/2019,9,Olivia,10,273,6,Distributor Cap,5,15%,214.4,129.04
SO - 0001815,Distributor,WARE-XYS1001,11/17/2018,12/21/2018,12/26/2018,12/30/2018,22,Two Harbors,8,20,8,Transmission,7,10%,1125.6,2610.59
SO - 0001816,In-Store,WARE-UHY1004,8/10/2018,12/21/2018,12/26/2018,12/28/2018,6,Elk River,32,204,27,Door Handle Set,7,5%,1842.5,1403.72
SO - 0001817,Wholesale,WARE-NMK1003,8/29/2018,12/21/2018,12/23/2018,1/3/2019,27,Grand Marais,12,165,30,Radiator,5,15%,1125.6,1818.48
SO - 0001818,In-Store,WARE-NMK1003,11/2/2018,12/21/2018,12/26/2018,12/28/2018,11,Glenwood,42,190,33,Radiator Fluid,8,15%,6224.3,90.21
SO - 0001819,In-Store,WARE-NMK1003,8/25/2018,12/21/2018,12/24/2018,12/29/2018,1,Granite Falls,24,94,12,Gear Shift Knob,6,5%,2224.4,98.45
SO - 000182,In-Store,WARE-UHY1004,5/23/2018,10/6/2018,10/10/2018,10/15/2018,10,Redwood Falls,34,255,15,Seat - Front,5,5%,167.5,353.1
SO - 0001820,In-Store,WARE-UHY1004,10/11/2018,12/21/2018,12/25/2018,12/26/2018,11,Glenwood,6,238,3,Break Pad Set,4,20%,1192.6,211.19
SO - 0001821,Wholesale,WARE-NMK1003,9/1/2018,12/21/2018,12/25/2018,12/26/2018,26,Red Wing,36,122,7,Distributor Wire,2,7.50%,6097,24.83
SO - 0001822,In-Store,WARE-UHY1004,10/18/2018,12/21/2018,12/23/2018,12/29/2018,7,Roseau,42,235,30,Radiator,6,7.50%,1031.8,1818.48
SO - 0001823,Online,WARE-PUJ1005,12/18/2018,12/21/2018,12/24/2018,1/1/2019,13,Fergus Falls,18,306,15,Seat - Front,1,5%,2425.4,353.1
SO - 0001824,In-Store,WARE-NMK1003,8/24/2018,12/21/2018,12/26/2018,1/3/2019,10,Redwood Falls,9,123,27,Door Handle Set,4,7.50%,1031.8,1403.72
SO - 0001825,Online,WARE-NMK1003,7/10/2018,12/21/2018,12/25/2018,1/1/2019,17,Milaca,35,96,40,Blinker Fluid,8,20%,897.8,17.05
SO - 0001826,Online,WARE-XYS1001,8/1/2018,12/22/2018,12/27/2018,1/5/2019,17,Milaca,33,46,3,Break Pad Set,5,5%,2458.9,211.19
SO - 0001827,In-Store,WARE-PUJ1005,12/17/2018,12/22/2018,12/26/2018,1/1/2019,9,Olivia,45,297,35,Front Axel,1,10%,2358.4,1176.68
SO - 0001828,In-Store,WARE-NMK1003,11/24/2018,12/22/2018,12/24/2018,12/31/2018,9,Olivia,41,132,19,Trunk Release,2,10%,1788.9,42.75
SO - 0001829,In-Store,WARE-UHY1004,11/21/2018,12/22/2018,12/27/2018,1/3/2019,7,Roseau,12,213,12,Gear Shift Knob,2,10%,3912.8,98.45
SO - 000183,Online,WARE-MKL1006,7/5/2018,10/6/2018,10/11/2018,10/16/2018,14,Worthington,23,336,27,Door Handle Set,7,7.50%,3195.9,1403.72
SO - 0001830,In-Store,WARE-NMK1003,10/14/2018,12/22/2018,12/27/2018,12/29/2018,12,Thief River Falls,45,94,23,Quarter Panel - Rear,8,5%,6143.9,338.25
SO - 0001831,Wholesale,WARE-NMK1003,8/11/2018,12/22/2018,12/24/2018,1/3/2019,26,Red Wing,42,147,39,Break Light,2,5%,2827.4,55.82
SO - 0001832,Online,WARE-PUJ1005,10/13/2018,12/22/2018,12/26/2018,1/6/2019,14,Worthington,7,327,15,Seat - Front,3,20%,1058.6,353.1
SO - 0001833,Distributor,WARE-NMK1003,9/23/2018,12/22/2018,12/27/2018,12/28/2018,25,Park Rapids,5,121,14,Window Switch - Rear,7,7.50%,1065.3,444.93
SO - 0001834,In-Store,WARE-NBV1002,8/5/2018,12/23/2018,12/28/2018,1/8/2019,1,Granite Falls,5,83,8,Transmission,6,7.50%,1112.2,2610.59
SO - 0001835,Online,WARE-XYS1001,11/11/2018,12/23/2018,12/25/2018,1/4/2019,19,Fairmont,13,30,30,Radiator,7,15%,3832.4,1818.48
SO - 0001836,Distributor,WARE-NMK1003,7/20/2018,12/23/2018,12/28/2018,1/7/2019,22,Two Harbors,12,112,29,Radiator Cap - Custom,3,40%,857.6,770.71
SO - 0001837,Distributor,WARE-MKL1006,12/8/2018,12/23/2018,12/27/2018,1/2/2019,23,Willmar,4,347,23,Quarter Panel - Rear,7,10%,5460.5,338.25
SO - 0001838,In-Store,WARE-XYS1001,10/23/2018,12/23/2018,12/25/2018,1/2/2019,7,Roseau,30,12,29,Radiator Cap - Custom,8,15%,2566.1,770.71
SO - 0001839,Online,WARE-MKL1006,10/18/2018,12/23/2018,12/24/2018,12/30/2018,13,Fergus Falls,25,342,18,Handbrake,5,15%,2653.2,331.25
SO - 000184,Online,WARE-PUJ1005,9/26/2018,10/6/2018,10/10/2018,10/14/2018,20,Glencoe,18,307,15,Seat - Front,1,5%,1051.9,353.1
SO - 0001840,Online,WARE-NBV1002,8/28/2018,12/23/2018,12/28/2018,1/6/2019,13,Fergus Falls,15,72,10,Coolant Sensor,2,7.50%,884.4,689.31
SO - 0001841,Wholesale,WARE-NBV1002,7/20/2018,12/23/2018,12/27/2018,1/4/2019,26,Red Wing,31,82,14,Window Switch - Rear,7,7.50%,3805.6,444.93
SO - 0001842,Distributor,WARE-UHY1004,8/30/2018,12/23/2018,12/28/2018,1/7/2019,22,Two Harbors,1,226,25,Trunk,8,20%,1152.4,1074.1
SO - 0001843,In-Store,WARE-NBV1002,10/6/2018,12/23/2018,12/25/2018,12/27/2018,11,Glenwood,23,71,43,Bumper - Rear,3,7.50%,3832.4,574.36
SO - 0001844,In-Store,WARE-UHY1004,8/24/2018,12/23/2018,12/25/2018,12/27/2018,9,Olivia,5,232,11,AC Unit,4,5%,871,1786.59
SO - 0001845,Online,WARE-NMK1003,11/8/2018,12/23/2018,12/26/2018,12/29/2018,19,Fairmont,27,186,37,Tail Light,4,5%,1809,22.71
SO - 0001846,In-Store,WARE-NMK1003,8/21/2018,12/23/2018,12/24/2018,1/1/2019,1,Granite Falls,30,90,34,Ignition System,5,7.50%,1969.8,526.6
SO - 0001847,Online,WARE-XYS1001,8/3/2018,12/23/2018,12/28/2018,1/1/2019,17,Milaca,46,42,20,Door - Front,5,5%,1038.5,660.94
SO - 0001848,Wholesale,WARE-UHY1004,10/30/2018,12/23/2018,12/27/2018,12/28/2018,28,Montevideo,25,250,26,Door Handle,6,7.50%,3651.5,162.29
SO - 0001849,Distributor,WARE-XYS1001,8/30/2018,12/23/2018,12/24/2018,1/4/2019,24,Mora,13,56,25,Trunk,8,5%,1949.7,1074.1
SO - 000185,Online,WARE-XYS1001,6/17/2018,10/6/2018,10/9/2018,10/12/2018,15,St.Peter,8,9,28,CV Joint,4,10%,5447.1,1294.12
SO - 0001850,Wholesale,WARE-NBV1002,8/9/2018,12/23/2018,12/28/2018,1/3/2019,28,Montevideo,50,62,31,Radiator Cap - Standard,8,5%,991.6,79.87
SO - 0001851,Online,WARE-XYS1001,9/23/2018,12/24/2018,12/26/2018,1/3/2019,12,Thief River Falls,17,9,25,Trunk,8,7.50%,2740.3,1074.1
SO - 0001852,Online,WARE-NBV1002,7/16/2018,12/24/2018,12/27/2018,1/6/2019,17,Milaca,23,65,42,Bumper - Front,6,7.50%,1902.8,480.27
SO - 0001853,In-Store,WARE-NBV1002,7/30/2018,12/24/2018,12/26/2018,12/27/2018,2,Buffalo,47,84,33,Radiator Fluid,2,10%,2365.1,90.21
SO - 0001854,Online,WARE-NMK1003,10/18/2018,12/24/2018,12/26/2018,12/29/2018,13,Fergus Falls,23,180,37,Tail Light,8,7.50%,1051.9,22.71
SO - 0001855,Distributor,WARE-UHY1004,9/1/2018,12/24/2018,12/27/2018,12/31/2018,22,Two Harbors,39,241,25,Trunk,5,10%,2860.9,1074.1
SO - 0001856,Online,WARE-PUJ1005,9/20/2018,12/24/2018,12/29/2018,1/6/2019,12,Thief River Falls,7,269,46,Trunk Carpet,5,7.50%,5835.7,91.33
SO - 0001857,In-Store,WARE-NMK1003,12/10/2018,12/24/2018,12/29/2018,1/4/2019,5,Gaylord,12,171,23,Quarter Panel - Rear,1,5%,1152.4,338.25
SO - 0001858,Online,WARE-NMK1003,10/13/2018,12/25/2018,12/28/2018,1/5/2019,15,St.Peter,41,120,27,Door Handle Set,3,7.50%,897.8,1403.72
SO - 0001859,Distributor,WARE-PUJ1005,9/27/2018,12/25/2018,12/30/2018,1/7/2019,22,Two Harbors,5,269,42,Bumper - Front,5,15%,1112.2,480.27
SO - 000186,Online,WARE-NMK1003,9/17/2018,10/6/2018,10/11/2018,10/21/2018,13,Fergus Falls,36,200,18,Handbrake,2,7.50%,3182.5,331.25
SO - 0001860,In-Store,WARE-MKL1006,7/4/2018,12/25/2018,12/27/2018,1/6/2019,5,Gaylord,12,365,44,Cruise Control,1,5%,3825.7,863.58
SO - 0001861,Wholesale,WARE-NMK1003,9/17/2018,12/25/2018,12/26/2018,12/27/2018,28,Montevideo,3,172,37,Tail Light,4,5%,1963.1,22.71
SO - 0001862,In-Store,WARE-NBV1002,11/27/2018,12/25/2018,12/27/2018,12/28/2018,5,Gaylord,12,70,23,Quarter Panel - Rear,6,5%,2365.1,338.25
SO - 0001863,Online,WARE-PUJ1005,12/20/2018,12/25/2018,12/30/2018,1/9/2019,19,Fairmont,20,286,1,Leaf Springs,3,5%,958.1,1028.78
SO - 0001864,In-Store,WARE-NBV1002,7/12/2018,12/25/2018,12/29/2018,1/8/2019,4,Owatonna,36,67,3,Break Pad Set,3,5%,1855.9,211.19
SO - 0001865,In-Store,WARE-XYS1001,7/22/2018,12/25/2018,12/28/2018,1/6/2019,12,Thief River Falls,30,58,46,Trunk Carpet,5,5%,1708.5,91.33
SO - 0001866,In-Store,WARE-UHY1004,12/4/2018,12/25/2018,12/30/2018,1/7/2019,10,Redwood Falls,45,230,16,Seat - Rear,7,7.50%,2586.2,511.83
SO - 0001867,Wholesale,WARE-NBV1002,8/15/2018,12/25/2018,12/28/2018,1/5/2019,28,Montevideo,40,84,16,Seat - Rear,2,10%,2566.1,511.83
SO - 0001868,Distributor,WARE-PUJ1005,11/10/2018,12/25/2018,12/29/2018,1/5/2019,23,Willmar,32,306,36,Rear Axel,3,7.50%,3202.6,1099.4
SO - 0001869,Online,WARE-NMK1003,9/12/2018,12/26/2018,12/29/2018,1/5/2019,17,Milaca,37,175,10,Coolant Sensor,2,7.50%,6545.9,689.31
SO - 000187,In-Store,WARE-MKL1006,10/17/2018,11/6/2018,11/10/2018,11/17/2018,6,Elk River,47,337,30,Radiator,3,10%,891.1,1818.48
SO - 0001870,In-Store,WARE-XYS1001,10/26/2018,12/26/2018,12/30/2018,1/2/2019,4,Owatonna,49,39,41,Antenna,4,15%,5226,83.64
SO - 0001871,Distributor,WARE-PUJ1005,8/31/2018,12/26/2018,12/28/2018,12/31/2018,25,Park Rapids,14,264,20,Door - Front,8,40%,904.5,660.94
SO - 0001872,Distributor,WARE-PUJ1005,11/29/2018,12/26/2018,12/29/2018,12/31/2018,25,Park Rapids,16,302,36,Rear Axel,5,5%,2237.8,1099.4
SO - 0001873,Online,WARE-NMK1003,7/1/2018,12/26/2018,12/29/2018,1/4/2019,16,Austin,30,130,30,Radiator,5,7.50%,1072,1818.48
SO - 0001874,In-Store,WARE-NBV1002,10/19/2018,12/26/2018,12/28/2018,1/7/2019,3,St. James,48,62,25,Trunk,3,10%,1092.1,1074.1
SO - 0001875,Distributor,WARE-UHY1004,9/21/2018,12/26/2018,12/27/2018,12/31/2018,21,Marshall,48,256,32,Radiator Sensor,2,10%,3825.7,683.25
SO - 0001876,In-Store,WARE-UHY1004,11/28/2018,12/26/2018,12/29/2018,1/5/2019,2,Buffalo,36,236,24,Hood,6,10%,214.4,707.85
SO - 0001877,Distributor,WARE-PUJ1005,7/22/2018,12/26/2018,1/1/2019,1/11/2019,23,Willmar,17,328,11,AC Unit,3,15%,6566,1786.59
SO - 0001878,In-Store,WARE-PUJ1005,10/2/2018,12/26/2018,12/29/2018,12/31/2018,6,Elk River,6,299,31,Radiator Cap - Standard,6,7.50%,1835.8,79.87
SO - 0001879,In-Store,WARE-NBV1002,7/4/2018,12/26/2018,12/31/2018,1/10/2019,7,Roseau,26,84,45,Rearview Mirror,2,15%,2432.1,313.72
SO - 000188,Online,WARE-NMK1003,6/15/2018,11/6/2018,11/12/2018,11/15/2018,15,St.Peter,27,158,31,Radiator Cap - Standard,2,20%,3892.7,79.87
SO - 0001880,Online,WARE-MKL1006,8/7/2018,12/27/2018,12/31/2018,1/10/2019,17,Milaca,5,330,43,Bumper - Rear,8,7.50%,1876,574.36
SO - 0001881,Online,WARE-PUJ1005,7/9/2018,12/27/2018,12/31/2018,1/6/2019,14,Worthington,15,305,22,Quarter Panel - Front,5,5%,1011.7,368.39
SO - 0001882,Online,WARE-XYS1001,10/17/2018,12/27/2018,12/31/2018,1/5/2019,15,St.Peter,18,51,34,Ignition System,4,5%,1038.5,526.6
SO - 0001883,In-Store,WARE-XYS1001,7/30/2018,12/27/2018,1/1/2019,1/9/2019,8,Luverne,46,32,32,Radiator Sensor,7,5%,958.1,683.25
SO - 0001884,Distributor,WARE-XYS1001,11/8/2018,12/27/2018,12/30/2018,1/9/2019,21,Marshall,43,31,16,Seat - Rear,2,30%,2445.5,511.83
SO - 0001885,Online,WARE-NMK1003,10/23/2018,12/27/2018,1/1/2019,1/11/2019,18,Lichfield,11,90,31,Radiator Cap - Standard,5,10%,3899.4,79.87
SO - 0001886,Online,WARE-NBV1002,10/22/2018,12/27/2018,12/31/2018,1/2/2019,18,Lichfield,4,83,43,Bumper - Rear,5,7.50%,1005,574.36
SO - 0001887,Online,WARE-XYS1001,10/28/2018,12/27/2018,12/29/2018,1/8/2019,14,Worthington,19,27,2,Spark Plug,5,5%,1775.5,1.38
SO - 0001888,Online,WARE-UHY1004,11/11/2018,12/27/2018,12/29/2018,1/4/2019,18,Lichfield,39,221,36,Rear Axel,6,15%,1125.6,1099.4
SO - 0001889,Online,WARE-NMK1003,12/11/2018,12/28/2018,12/30/2018,1/5/2019,17,Milaca,49,184,11,AC Unit,2,5%,1098.8,1786.59
SO - 000189,Online,WARE-UHY1004,9/5/2018,11/6/2018,11/11/2018,11/13/2018,13,Fergus Falls,5,249,8,Transmission,2,40%,3953,2610.59
SO - 0001890,Wholesale,WARE-NMK1003,11/6/2018,12/28/2018,12/31/2018,1/3/2019,28,Montevideo,33,109,47,Hood Ornament,5,5%,1936.3,396.81
SO - 0001891,Distributor,WARE-UHY1004,10/16/2018,12/28/2018,1/2/2019,1/7/2019,24,Mora,24,223,25,Trunk,3,7.50%,3926.2,1074.1
SO - 0001892,In-Store,WARE-XYS1001,9/24/2018,12/28/2018,12/30/2018,1/1/2019,11,Glenwood,14,6,8,Transmission,7,7.50%,3155.7,2610.59
SO - 0001893,Wholesale,WARE-NMK1003,11/16/2018,12/28/2018,12/31/2018,1/9/2019,26,Red Wing,12,167,20,Door - Front,8,7.50%,3999.9,660.94
SO - 0001894,Online,WARE-XYS1001,11/18/2018,12/28/2018,12/29/2018,12/30/2018,18,Lichfield,37,31,19,Trunk Release,2,7.50%,1092.1,42.75
SO - 0001895,Online,WARE-NMK1003,10/26/2018,12/29/2018,1/1/2019,1/9/2019,18,Lichfield,38,199,37,Tail Light,4,15%,1005,22.71
SO - 0001896,In-Store,WARE-UHY1004,10/8/2018,12/29/2018,12/31/2018,1/5/2019,11,Glenwood,9,213,19,Trunk Release,3,5%,254.6,42.75
SO - 0001897,In-Store,WARE-MKL1006,10/4/2018,12/29/2018,1/2/2019,1/9/2019,6,Elk River,36,336,5,Break Set,2,5%,897.8,537.09
SO - 0001898,In-Store,WARE-NMK1003,12/3/2018,12/29/2018,1/2/2019,1/4/2019,3,St. James,8,179,23,Quarter Panel - Rear,4,5%,1748.7,338.25
SO - 0001899,In-Store,WARE-NMK1003,8/30/2018,12/29/2018,1/1/2019,1/6/2019,12,Thief River Falls,14,89,20,Door - Front,4,7.50%,1105.5,660.94
SO - 000190,Online,WARE-NMK1003,10/2/2018,11/6/2018,11/11/2018,11/16/2018,20,Glencoe,38,185,5,Break Set,2,30%,924.6,537.09
SO - 0001900,Distributor,WARE-MKL1006,12/17/2018,12/29/2018,1/4/2019,1/6/2019,25,Park Rapids,25,367,47,Hood Ornament,6,10%,5842.4,396.81
SO - 0001901,Online,WARE-NMK1003,8/2/2018,12/29/2018,1/1/2019,1/9/2019,17,Milaca,16,123,46,Trunk Carpet,7,7.50%,1179.2,91.33
SO - 0001902,Online,WARE-NMK1003,7/28/2018,12/29/2018,12/31/2018,1/9/2019,19,Fairmont,45,166,8,Transmission,4,20%,2579.5,2610.59
SO - 0001903,Online,WARE-MKL1006,11/24/2018,12/29/2018,1/2/2019,1/4/2019,16,Austin,34,341,25,Trunk,3,7.50%,924.6,1074.1
SO - 0001904,Distributor,WARE-NMK1003,11/4/2018,12/29/2018,1/4/2019,1/14/2019,22,Two Harbors,33,162,18,Handbrake,3,7.50%,3979.8,331.25
SO - 0001905,In-Store,WARE-PUJ1005,12/17/2018,12/29/2018,1/1/2019,1/11/2019,3,St. James,43,282,47,Hood Ornament,4,5%,2626.4,396.81
SO - 0001906,Wholesale,WARE-XYS1001,9/2/2018,12/29/2018,1/2/2019,1/7/2019,27,Grand Marais,17,46,37,Tail Light,3,7.50%,1293.1,22.71
SO - 0001907,Distributor,WARE-NBV1002,10/10/2018,12/29/2018,12/31/2018,1/7/2019,25,Park Rapids,18,86,46,Trunk Carpet,8,10%,1132.3,91.33
